# X, Y, Z, V, Ex, Ey, Ez
0.025 0 0.001 503.586 1843.73 -0.0187758 -29.2842
0.026 0 0.001 501.765 1793.09 -0.0108943 -14.4213
0.027 0 0.001 500 886.027 6.21725e-15 -0.000220436
0.028 0 0.001 500 9.66113 3.95782e-05 0
0.029 0 0.001 499.988 11.9383 0.00332053 0.0375563
0.03 0 0.001 499.976 10.6631 0.0135705 0.0629867
0.031 0 0.001 499.966 9.02417 -0.0254522 0.127584
0.032 0 0.001 499.958 7.2565 0.021535 -0.105909
0.033 0 0.001 499.952 4.61776 -0.106121 0.3059
0.034 0 0.001 499.949 2.30717 0.409021 0.149534
0.035 0 0.001 499.947 0 0 0
-0.035 0 0.002 499.947 0 0 0
-0.034 0 0.002 499.948 -2.44247 0.0219269 0.308196
-0.033 0 0.002 499.952 -4.81248 0.0221687 0.279281
-0.032 0 0.002 499.958 -7.04315 0.0252895 0.24681
-0.031 0 0.002 499.966 -9.02627 0.0189054 0.19627
-0.03 0 0.002 499.976 -10.6953 0.0134464 0.138791
-0.029 0 0.002 499.988 -11.9405 0.00813222 0.0727378
-0.028 0 0.002 500 -12.5224 0.000117327 0.000282587
-0.027 0 0.002 500 -901.541 0 0
-0.026 0 0.002 501.783 -1817.09 -0.0236912 -28.9502
-0.025 0 0.002 503.627 -1866.32 -0.053326 -58.8824
-0.024 0 0.002 505.516 -1906.68 -0.086038 -89.5436
-0.023 0 0.002 507.441 -1936.91 -0.119063 -120.767
-0.022 0 0.002 509.39 -1956.5 -0.150348 -152.377
-0.021 0 0.002 511.354 -1965.18 -0.178805 -184.195
-0.02 0 0.002 513.32 -1962.78 -0.201999 -216.043
-0.019 0 0.002 515.279 -1949.22 -0.218316 -247.743
-0.018 0 0.002 517.219 -1924.52 -0.219029 -279.12
-0.017 0 0.002 519.128 -1888.79 -0.211573 -309.995
-0.016 0 0.002 520.996 -1842.23 -0.188669 -340.197
-0.015 0 0.002 522.813 -1785.09 -0.151029 -369.551
-0.014 0 0.002 524.566 -1717.73 -0.100754 -397.889
-0.013 0 0.002 526.248 -1640.54 -0.0356666 -425.044
-0.012 0 0.002 527.848 -1553.98 0.0331306 -450.851
-0.011 0 0.002 529.356 -1458.54 0.109196 -475.158
-0.01 0 0.002 530.765 -1354.75 0.178913 -497.816
-0.009 0 0.002 532.065 -1243.18 0.23337 -518.691
-0.008 0 0.002 533.251 -1124.41 0.272939 -537.662
-0.007 0 0.002 534.314 -999.087 0.290156 -554.62
-0.006 0 0.002 535.249 -867.881 0.283121 -569.477
-0.005 0 0.002 536.05 -731.497 0.244182 -582.162
-0.004 0 0.002 536.712 -590.701 0.175839 -592.614
-0.003 0 0.002 537.231 -446.317 0.102152 -600.793
-0.002 0 0.002 537.605 -299.173 0.00537981 -606.669
-0.001 0 0.002 537.83 -150.158 -0.107634 -610.226
0 0 0.002 537.905 -0.208123 -0.208123 -611.458
0.001 0 0.002 537.83 149.754 -0.307478 -610.357
0.002 0 0.002 537.606 298.792 -0.389628 -606.936
0.003 0 0.002 537.233 445.982 -0.449889 -601.202
0.004 0 0.002 536.714 590.433 -0.491587 -593.173
0.005 0 0.002 536.052 731.277 -0.503681 -582.874
0.006 0 0.002 535.251 867.705 -0.49494 -570.338
0.007 0 0.002 534.316 998.943 -0.463395 -555.615
0.008 0 0.002 533.253 1124.27 -0.412747 -538.765
0.009 0 0.002 532.068 1243.03 -0.36044 -519.867
0.01 0 0.002 530.767 1354.57 -0.305678 -499.021
0.011 0 0.002 529.359 1458.31 -0.243775 -476.342
0.012 0 0.002 527.851 1553.69 -0.185568 -451.966
0.013 0 0.002 526.251 1640.21 -0.147299 -426.042
0.014 0 0.002 524.57 1717.37 -0.116211 -398.734
0.015 0 0.002 522.817 1784.72 -0.0857979 -370.215
0.016 0 0.002 521.001 1841.89 -0.0756759 -340.663
0.017 0 0.002 519.133 1888.52 -0.0632153 -310.269
0.018 0 0.002 517.224 1924.35 -0.0589253 -279.214
0.019 0 0.002 515.284 1949.19 -0.0577308 -247.689
0.02 0 0.002 513.325 1962.9 -0.0536849 -215.879
0.021 0 0.002 511.358 1965.47 -0.0537396 -183.962
0.022 0 0.002 509.394 1956.93 -0.0472631 -152.121
0.023 0 0.002 507.444 1937.42 -0.0399425 -120.53
0.024 0 0.002 505.519 1907.14 -0.0314342 -89.3524
0.025 0 0.002 503.63 1866.32 -0.0207036 -58.7587
0.026 0 0.002 501.787 1815.06 -0.0122579 -28.9172
0.027 0 0.002 500 896.882 6.21725e-15 -0.000441276
