# trajectories_output_v2
# z, y, x, massa, carga, t
0.001, -0.004, 0, 136.2, 1, 0
0.00133, -0.004, 0, 136.2, 1, 8.76712e-09
0.00165969, -0.00400046, 0, 136.2, 1, 1.75342e-08
0.00198898, -0.00400138, 0, 136.2, 1, 2.63014e-08
0.0023178, -0.00400276, 0, 136.2, 1, 3.50685e-08
0.00264608, -0.00400459, 0, 136.2, 1, 4.38356e-08
0.00297374, -0.00400687, 0, 136.2, 1, 5.26027e-08
0.0033007, -0.0040096, 0, 136.2, 1, 6.13698e-08
0.00362689, -0.00401276, 0, 136.2, 1, 7.01369e-08
0.00395224, -0.00401637, 0, 136.2, 1, 7.89041e-08
0.00427667, -0.0040204, 0, 136.2, 1, 8.76712e-08
0.00460012, -0.00402486, 0, 136.2, 1, 9.64383e-08
0.00492251, -0.00402974, 0, 136.2, 1, 1.05205e-07
0.00524378, -0.00403503, 0, 136.2, 1, 1.13973e-07
0.00556385, -0.00404073, 0, 136.2, 1, 1.2274e-07
0.00588267, -0.00404682, 0, 136.2, 1, 1.31507e-07
0.00620017, -0.0040533, 0, 136.2, 1, 1.40274e-07
0.00651629, -0.00406016, 0, 136.2, 1, 1.49041e-07
0.00683096, -0.00406739, 0, 136.2, 1, 1.57808e-07
0.00714413, -0.00407498, 0, 136.2, 1, 1.66575e-07
0.00745574, -0.00408292, 0, 136.2, 1, 1.75342e-07
0.00776573, -0.00409119, 0, 136.2, 1, 1.84109e-07
0.00807406, -0.00409979, 0, 136.2, 1, 1.92877e-07
0.00838068, -0.00410871, 0, 136.2, 1, 2.01644e-07
0.00868552, -0.00411793, 0, 136.2, 1, 2.10411e-07
0.00898856, -0.00412743, 0, 136.2, 1, 2.19178e-07
0.00928974, -0.00413721, 0, 136.2, 1, 2.27945e-07
0.00958902, -0.00414724, 0, 136.2, 1, 2.36712e-07
0.00988637, -0.00415752, 0, 136.2, 1, 2.45479e-07
0.0101817, -0.00416803, 0, 136.2, 1, 2.54246e-07
0.0104751, -0.00417875, 0, 136.2, 1, 2.63014e-07
0.0107664, -0.00418966, 0, 136.2, 1, 2.71781e-07
0.0110557, -0.00420075, 0, 136.2, 1, 2.80548e-07
0.0113429, -0.004212, 0, 136.2, 1, 2.89315e-07
0.0116279, -0.00422339, 0, 136.2, 1, 2.98082e-07
0.0119108, -0.0042349, 0, 136.2, 1, 3.06849e-07
0.0121916, -0.00424651, 0, 136.2, 1, 3.15616e-07
0.0124702, -0.00425821, 0, 136.2, 1, 3.24383e-07
0.0127466, -0.00426996, 0, 136.2, 1, 3.3315e-07
0.0130208, -0.00428176, 0, 136.2, 1, 3.41918e-07
0.0132928, -0.00429357, 0, 136.2, 1, 3.50685e-07
0.0135626, -0.00430538, 0, 136.2, 1, 3.59452e-07
0.0138303, -0.00431716, 0, 136.2, 1, 3.68219e-07
0.0140957, -0.00432889, 0, 136.2, 1, 3.76986e-07
0.0143589, -0.00434056, 0, 136.2, 1, 3.85753e-07
0.0146199, -0.00435212, 0, 136.2, 1, 3.9452e-07
0.0148788, -0.00436357, 0, 136.2, 1, 4.03287e-07
0.0151355, -0.00437488, 0, 136.2, 1, 4.12055e-07
0.01539, -0.00438603, 0, 136.2, 1, 4.20822e-07
0.0156425, -0.00439698, 0, 136.2, 1, 4.29589e-07
0.0158928, -0.00440773, 0, 136.2, 1, 4.38356e-07
0.016141, -0.00441823, 0, 136.2, 1, 4.47123e-07
0.0163872, -0.00442848, 0, 136.2, 1, 4.5589e-07
0.0166313, -0.00443844, 0, 136.2, 1, 4.64657e-07
0.0168735, -0.0044481, 0, 136.2, 1, 4.73424e-07
0.0171137, -0.00445742, 0, 136.2, 1, 4.82191e-07
0.017352, -0.00446639, 0, 136.2, 1, 4.90959e-07
0.0175884, -0.00447498, 0, 136.2, 1, 4.99726e-07
0.0178229, -0.00448318, 0, 136.2, 1, 5.08493e-07
0.0180557, -0.00449095, 0, 136.2, 1, 5.1726e-07
0.0182867, -0.00449828, 0, 136.2, 1, 5.26027e-07
0.018516, -0.00450514, 0, 136.2, 1, 5.34794e-07
0.0187436, -0.00451152, 0, 136.2, 1, 5.43561e-07
0.0189697, -0.0045174, 0, 136.2, 1, 5.52328e-07
0.0191942, -0.00452275, 0, 136.2, 1, 5.61096e-07
0.0194172, -0.00452755, 0, 136.2, 1, 5.69863e-07
0.0196387, -0.00453179, 0, 136.2, 1, 5.7863e-07
0.0198589, -0.00453545, 0, 136.2, 1, 5.87397e-07
0.0200778, -0.00453852, 0, 136.2, 1, 5.96164e-07
0.0202954, -0.00454096, 0, 136.2, 1, 6.04931e-07
0.0205118, -0.00454278, 0, 136.2, 1, 6.13698e-07
0.020727, -0.00454395, 0, 136.2, 1, 6.22465e-07
0.0209412, -0.00454446, 0, 136.2, 1, 6.31232e-07
0.0211544, -0.0045443, 0, 136.2, 1, 6.4e-07
0.0213667, -0.00454345, 0, 136.2, 1, 6.48767e-07
0.0215781, -0.0045419, 0, 136.2, 1, 6.57534e-07
0.0217887, -0.00453964, 0, 136.2, 1, 6.66301e-07
0.0219985, -0.00453666, 0, 136.2, 1, 6.75068e-07
0.0222077, -0.00453295, 0, 136.2, 1, 6.83835e-07
0.0224163, -0.00452849, 0, 136.2, 1, 6.92602e-07
0.0226244, -0.00452329, 0, 136.2, 1, 7.01369e-07
0.0228321, -0.00451733, 0, 136.2, 1, 7.10137e-07
0.0230394, -0.00451061, 0, 136.2, 1, 7.18904e-07
0.0232464, -0.00450312, 0, 136.2, 1, 7.27671e-07
0.0234531, -0.00449484, 0, 136.2, 1, 7.36438e-07
0.0236597, -0.00448579, 0, 136.2, 1, 7.45205e-07
0.0238663, -0.00447595, 0, 136.2, 1, 7.53972e-07
0.0240728, -0.00446533, 0, 136.2, 1, 7.62739e-07
0.0242795, -0.00445391, 0, 136.2, 1, 7.71506e-07
0.0244862, -0.00444169, 0, 136.2, 1, 7.80273e-07
